dmu,x1,y1,y2,y3,y4
Begues 2015,"832,132",93,426,2489,468
Gavà 2015,"33,150,060","5,378",25110,121109,48289
Prat 2015,"211,317,326","35,205",161618,676276,244157
Sant Feliu 2015,"42,607,803","5,251",23991,109347,21591
Vallvidrera 2015,"632,936",64,289,1673,172
Begues 2016,"815,129",94,426,331,424
Gavà 2016,"33,666,128",4971,22977,15007,19978
Besòs 2016,"301,775,325",70763,324038,57037,127800
Prat 2016,"218,026,552",52591,239666,114975,167566
Montcada 2016,"43,381,288",6450,29923,10246,16696
Sant Feliu 2016,"43,638,006",4639,21205,13319,17958
Vallvidrera 2016,"650,430",59,270,206,265
