dmu,x1,y1,y2,y3,y4
Abasolo,48614.0,72,65,20,1511
Acueducto de Guadalupe,450799.8,386,359,328,24211
Bosque de las Lomas,114786.2,159,136,137,10101
Cerro de la Estrella,4999830.6,5633,4900,17509,27756
Chapultepec,501443.4,493,422,347,25606
Ciudad Deportiva,892219.7,500,427,650,47925
Coyoacan,1101486.2,569,489,802,59157
El Llano,436946.0,263,352,1559,3468
Iztacalco,57786.1,52,44,42,3098
La Lupita,51496.7,88,75,80,5919
Parres,22863.1,64,55,14,997
Pemex,143614.9,121,103,68,4987
Reclusorio Sur,50550.8,160,145,96,7093
Magdalena Contreras,421101.0,55,52,141,10378
Rosario,49432.3,32,29,61,4529
San Andres Mixquic,67715.9,76,71,307,468
San Juan de Aragón,445173.8,851,732,921,72602
San Lorenzo,392670.1,322,285,411,30276
San Luis Tlaxialtemalco,570979.5,221,1022,380,28009
San Miguel Xicalco,51508.8,110,94,34,2519
San Nicolas Tetelco,43262.5,273,231,82,6070
San Pedro Actopan,73303.6,490,414,1277,1124
Santa Fe,384823.3,679,3224,1714,1309
Santa Martha,31718.4,55,46,202,117
Tlatelolco,80760.6,60,51,65,4755
