1.data,2.data,3.data,4.data,5.data,6.data,7.data
0.82,0.91,1.0,1.0,0.68,1.0,0.65
0.75,0.84,0.96,0.91,0.62,0.96,0.6
0.69,0.77,0.91,0.84,0.57,0.53,0.55
0.69,0.77,0.91,0.84,0.57,0.53,0.55
0.83,0.92,1.0,1.0,0.68,1.0,0.66
0.75,0.84,0.97,0.92,0.63,0.97,0.6
0.69,0.77,0.92,0.85,0.57,0.53,0.55
0.69,0.77,0.92,0.85,0.57,0.53,0.55
0.83,0.93,1.0,1.0,0.69,1.0,0.66
0.76,0.85,0.98,0.93,0.63,0.97,0.6
0.7,0.78,0.93,0.85,0.58,0.54,0.56
0.7,0.78,0.93,0.85,0.58,0.54,0.56
0.82,0.91,1.0,1.0,0.68,0.97,0.65
0.82,0.91,1.0,1.0,0.68,1.0,0.65
0.75,0.84,0.96,0.91,0.62,0.84,0.6
0.75,0.84,0.96,0.91,0.62,0.97,0.6
0.69,0.77,0.91,0.84,0.57,0.53,0.55
0.69,0.77,0.91,0.84,0.57,0.53,0.55
0.69,0.77,0.91,0.84,0.57,0.53,0.55
0.83,0.92,1.0,1.0,0.68,0.97,0.66
0.83,0.92,1.0,1.0,0.68,1.0,0.66
0.75,0.84,0.97,0.92,0.63,0.85,0.6
0.75,0.84,0.97,0.92,0.63,0.97,0.6
0.69,0.77,0.92,0.85,0.57,0.53,0.55
0.69,0.77,0.92,0.85,0.57,0.53,0.55
0.69,0.77,0.92,0.85,0.57,0.53,0.55
0.83,0.93,1.0,1.0,0.69,0.98,0.66
0.83,0.93,1.0,1.0,0.69,1.0,0.66
0.76,0.85,0.98,0.93,0.63,0.86,0.6
0.76,0.85,0.98,0.93,0.63,0.98,0.6
0.7,0.78,0.93,0.85,0.58,0.54,0.56
0.7,0.78,0.93,0.85,0.58,0.54,0.56
0.7,0.78,0.93,0.85,0.58,0.54,0.56
0.82,0.91,1.0,1.0,0.68,0.93,0.65
0.82,0.91,1.0,1.0,0.68,0.97,0.65
0.82,0.91,1.0,1.0,0.68,1.0,0.65
0.75,0.84,0.96,0.91,0.62,0.73,0.6
0.75,0.84,0.96,0.91,0.62,0.88,0.6
0.75,0.84,0.96,0.91,0.62,0.97,0.6
0.69,0.77,0.91,0.84,0.57,0.53,0.55
0.69,0.77,0.91,0.84,0.57,0.53,0.55
0.69,0.77,0.91,0.84,0.57,0.53,0.55
0.83,0.92,1.0,1.0,0.68,0.94,0.66
0.83,0.92,1.0,1.0,0.68,0.98,0.66
0.83,0.92,1.0,1.0,0.68,1.0,0.66
0.75,0.84,0.97,0.92,0.63,0.73,0.6
0.75,0.84,0.97,0.92,0.63,0.88,0.6
0.75,0.84,0.97,0.92,0.63,0.98,0.6
0.69,0.77,0.92,0.85,0.57,0.53,0.55
0.69,0.77,0.92,0.85,0.57,0.53,0.55
0.69,0.77,0.92,0.85,0.57,0.53,0.55
0.83,0.93,1.0,1.0,0.69,0.94,0.66
0.83,0.93,1.0,1.0,0.69,0.98,0.66
0.83,0.93,1.0,1.0,0.69,1.0,0.66
0.76,0.85,0.98,0.93,0.63,0.74,0.6
0.76,0.85,0.98,0.93,0.63,0.89,0.6
0.76,0.85,0.98,0.93,0.63,0.99,0.6
0.7,0.78,0.93,0.85,0.58,0.54,0.56
0.7,0.78,0.93,0.85,0.58,0.54,0.56
0.7,0.78,0.93,0.85,0.58,0.54,0.56
0.77,0.84,1.0,1.0,0.63,1.0,0.6
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.71,0.78,0.96,0.92,0.57,0.53,0.55
0.77,0.85,1.0,1.0,0.63,1.0,0.6
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.78,0.86,1.0,1.0,0.64,1.0,0.61
0.72,0.79,0.98,0.94,0.58,0.54,0.56
0.72,0.79,0.98,0.94,0.58,0.54,0.56
0.77,0.84,1.0,1.0,0.63,0.88,0.6
0.77,0.84,1.0,1.0,0.63,1.0,0.6
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.71,0.78,0.95,0.92,0.57,0.53,0.55
0.71,0.78,0.96,0.92,0.57,0.53,0.55
0.77,0.85,1.0,1.0,0.63,0.89,0.6
0.77,0.85,1.0,1.0,0.63,1.0,0.6
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.71,0.78,0.97,0.93,0.58,0.54,0.56
0.78,0.86,1.0,1.0,0.64,0.89,0.61
0.78,0.86,1.0,1.0,0.64,1.0,0.61
