1.data,2.data,3.data,4.data,5.data,6.data,7.data
0.7981,0.9064,1.0,1.0,0.9103,1.0,0.6492
0.7981,0.9064,1.0,,0.9103,,0.6492
0.7981,0.9064,1.0,,0.9103,,0.6492
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.8107,0.9208,1.0,1.0,0.9247,1.0,0.6595
0.8107,0.9208,1.0,,0.9247,,0.6595
0.8107,0.9208,1.0,,0.9247,,0.6595
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.8234,0.9352,1.0,1.0,0.9392,1.0,0.6698
0.8234,0.9352,1.0,,0.9392,,0.6698
0.8234,0.9352,1.0,,0.9392,,0.6698
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.7981,0.9064,1.0,1.0,0.9103,0.6287,0.6492
0.7981,0.9064,1.0,1.0,0.9103,1.0,0.6492
0.7981,0.9064,1.0,,0.9103,,0.6492
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.8107,0.9208,1.0,1.0,0.9247,0.6387,0.6595
0.8107,0.9208,1.0,1.0,0.9247,1.0,0.6595
0.8107,0.9208,1.0,,0.9247,,0.6595
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.8234,0.9352,1.0,1.0,0.9392,0.6487,0.6698
0.8234,0.9352,1.0,1.0,0.9392,1.0,0.6698
0.8234,0.9352,1.0,,0.9392,,0.6698
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.7981,0.9064,1.0,1.0,0.9103,0.6287,0.6492
0.7981,0.9064,1.0,1.0,0.9103,0.7514,0.6492
0.7981,0.9064,1.0,1.0,0.9103,1.0,0.6492
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.6604,0.7501,0.8219,0.8276,0.7533,0.5203,0.5373
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.5633,0.6398,0.688,0.7058,0.6425,0.4438,0.4582
0.8107,0.9208,1.0,1.0,0.9247,0.6387,0.6595
0.8107,0.9208,1.0,1.0,0.9247,0.762,0.6595
0.8107,0.9208,1.0,1.0,0.9247,1.0,0.6595
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.6709,0.762,0.8349,0.8407,0.7653,0.5285,0.5458
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.5722,0.6499,0.699,0.717,0.6527,0.4508,0.4655
0.8234,0.9352,1.0,1.0,0.9392,0.6487,0.6698
0.8234,0.9352,1.0,1.0,0.9392,0.7727,0.6698
0.8234,0.9352,1.0,1.0,0.9392,1.0,0.6698
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.6814,0.7739,0.8479,0.8538,0.7772,0.5368,0.5543
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.5812,0.6601,0.7099,0.7282,0.6629,0.4579,0.4728
0.841,0.9212,1.0,,0.9233,,0.6571
0.841,0.9212,1.0,,0.9233,,0.6571
0.841,0.9212,1.0,,0.9233,,0.6571
0.696,0.7623,0.8999,1.0,0.7641,0.5242,0.5438
0.696,0.7623,0.8999,,0.7641,0.5242,0.5438
0.696,0.7623,0.8999,,0.7641,0.5242,0.5438
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.8544,0.9358,1.0,,0.938,,0.6675
0.8544,0.9358,1.0,,0.938,,0.6675
0.8544,0.9358,1.0,,0.938,,0.6675
0.707,0.7744,0.9142,1.0,0.7763,0.5325,0.5524
0.707,0.7744,0.9142,,0.7763,0.5325,0.5524
0.707,0.7744,0.9142,,0.7763,0.5325,0.5524
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.8677,0.9505,1.0,,0.9527,,0.678
0.8677,0.9505,1.0,,0.9527,,0.678
0.8677,0.9505,1.0,,0.9527,,0.678
0.7181,0.7866,0.9285,1.0,0.7884,0.5408,0.5611
0.7181,0.7866,0.9285,,0.7884,0.5408,0.5611
0.7181,0.7866,0.9285,,0.7884,0.5408,0.5611
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.841,0.9212,1.0,,0.9233,0.6334,0.6571
0.841,0.9212,1.0,,0.9233,,0.6571
0.841,0.9212,1.0,,0.9233,,0.6571
0.696,0.7623,0.8999,1.0,0.7641,0.5242,0.5438
0.696,0.7623,0.8999,1.0,0.7641,0.5242,0.5438
0.696,0.7623,0.8999,,0.7641,0.5242,0.5438
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.8544,0.9358,1.0,,0.938,0.6435,0.6675
0.8544,0.9358,1.0,,0.938,,0.6675
0.8544,0.9358,1.0,,0.938,,0.6675
0.707,0.7744,0.9142,1.0,0.7763,0.5325,0.5524
0.707,0.7744,0.9142,1.0,0.7763,0.5325,0.5524
0.707,0.7744,0.9142,,0.7763,0.5325,0.5524
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.8677,0.9505,1.0,,0.9527,0.6535,0.678
0.8677,0.9505,1.0,,0.9527,,0.678
0.8677,0.9505,1.0,,0.9527,,0.678
0.7181,0.7866,0.9285,1.0,0.7884,0.5408,0.5611
0.7181,0.7866,0.9285,1.0,0.7884,0.5408,0.5611
0.7181,0.7866,0.9285,,0.7884,0.5408,0.5611
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.841,0.9212,1.0,,0.9233,0.6334,0.6571
0.841,0.9212,1.0,,0.9233,0.8323,0.6571
0.841,0.9212,1.0,,0.9233,,0.6571
0.696,0.7623,0.8999,1.0,0.7641,0.5242,0.5438
0.696,0.7623,0.8999,1.0,0.7641,0.5242,0.5438
0.696,0.7623,0.8999,1.0,0.7641,0.5242,0.5438
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.5936,0.6502,0.7534,0.8529,0.6517,0.4471,0.4638
0.8544,0.9358,1.0,,0.938,0.6435,0.6675
0.8544,0.9358,1.0,,0.938,0.8435,0.6675
0.8544,0.9358,1.0,,0.938,,0.6675
0.707,0.7744,0.9142,1.0,0.7763,0.5325,0.5524
0.707,0.7744,0.9142,1.0,0.7763,0.5325,0.5524
0.707,0.7744,0.9142,1.0,0.7763,0.5325,0.5524
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.603,0.6605,0.7653,0.8665,0.6621,0.4542,0.4712
0.8677,0.9505,1.0,,0.9527,0.6535,0.678
0.8677,0.9505,1.0,,0.9527,0.8547,0.678
0.8677,0.9505,1.0,,0.9527,,0.678
0.7181,0.7866,0.9285,1.0,0.7884,0.5408,0.5611
0.7181,0.7866,0.9285,1.0,0.7884,0.5408,0.5611
0.7181,0.7866,0.9285,1.0,0.7884,0.5408,0.5611
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.6125,0.6709,0.7773,0.88,0.6724,0.4613,0.4785
0.884,0.936,1.0,,0.9364,,0.665
0.884,0.936,1.0,,0.9364,,0.665
0.884,0.936,1.0,,0.9364,,0.665
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.6239,0.6607,0.8187,1.0,0.661,0.4504,0.4694
0.6239,0.6607,0.8187,,0.661,0.4504,0.4694
0.6239,0.6607,0.8187,,0.661,0.4504,0.4694
0.898,0.9509,1.0,,0.9513,,0.6756
0.898,0.9509,1.0,,0.9513,,0.6756
0.898,0.9509,1.0,,0.9513,,0.6756
0.7432,0.7869,0.9935,,0.7872,0.5365,0.5591
0.7432,0.7869,0.9935,,0.7872,0.5365,0.5591
0.7432,0.7869,0.9935,,0.7872,0.5365,0.5591
0.6338,0.6711,0.8317,1.0,0.6714,0.4576,0.4768
0.6338,0.6711,0.8317,,0.6714,0.4576,0.4768
0.6338,0.6711,0.8317,,0.6714,0.4576,0.4768
0.912,0.9657,1.0,,0.9661,,0.6861
0.912,0.9657,1.0,,0.9661,,0.6861
0.912,0.9657,1.0,,0.9661,,0.6861
0.7548,0.7992,1.0,,0.7995,0.5449,0.5678
0.7548,0.7992,1.0,,0.7995,0.5449,0.5678
0.7548,0.7992,1.0,,0.7995,0.5449,0.5678
0.6438,0.6816,0.8447,1.0,0.6819,0.4647,0.4843
0.6438,0.6816,0.8447,,0.6819,0.4647,0.4843
0.6438,0.6816,0.8447,,0.6819,0.4647,0.4843
0.884,0.936,1.0,,0.9364,0.7428,0.665
0.884,0.936,1.0,,0.9364,,0.665
0.884,0.936,1.0,,0.9364,,0.665
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.6239,0.6607,0.8187,1.0,0.661,0.4504,0.4694
0.6239,0.6607,0.8187,1.0,0.661,0.4504,0.4694
0.6239,0.6607,0.8187,,0.661,0.4504,0.4694
0.898,0.9509,1.0,,0.9513,0.7535,0.6756
0.898,0.9509,1.0,,0.9513,,0.6756
0.898,0.9509,1.0,,0.9513,,0.6756
0.7432,0.7869,0.9935,,0.7872,0.5365,0.5591
0.7432,0.7869,0.9935,,0.7872,0.5365,0.5591
0.7432,0.7869,0.9935,,0.7872,0.5365,0.5591
0.6338,0.6711,0.8317,1.0,0.6714,0.4576,0.4768
0.6338,0.6711,0.8317,1.0,0.6714,0.4576,0.4768
0.6338,0.6711,0.8317,,0.6714,0.4576,0.4768
0.912,0.9657,1.0,,0.9661,0.7643,0.6861
0.912,0.9657,1.0,,0.9661,,0.6861
0.912,0.9657,1.0,,0.9661,,0.6861
0.7548,0.7992,1.0,,0.7995,0.5449,0.5678
0.7548,0.7992,1.0,,0.7995,0.5449,0.5678
0.7548,0.7992,1.0,,0.7995,0.5449,0.5678
0.6438,0.6816,0.8447,1.0,0.6819,0.4647,0.4843
0.6438,0.6816,0.8447,1.0,0.6819,0.4647,0.4843
0.6438,0.6816,0.8447,,0.6819,0.4647,0.4843
0.884,0.936,1.0,,0.9364,0.6382,0.665
0.884,0.936,1.0,,0.9364,,0.665
0.884,0.936,1.0,,0.9364,,0.665
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.7315,0.7746,0.978,,0.7749,0.5281,0.5503
0.6239,0.6607,0.8187,1.0,0.661,0.4504,0.4694
0.6239,0.6607,0.8187,1.0,0.661,0.4504,0.4694
0.6239,0.6607,0.8187,1.0,0.661,0.4504,0.4694
0.898,0.9509,1.0,,0.9513,0.6483,0.6756
0.898,0.9509,1.0,,0.9513,,0.6756
0.898,0.9509,1.0,,0.9513,,0.6756
