1.data,2.data,3.data,4.data,5.data,6.data,7.data
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.87,,,0.64,,1.0
1.0,0.87,,,0.64,,1.0
1.0,0.84,0.99,0.96,0.61,0.72,1.0
1.0,0.84,0.99,0.96,0.61,0.82,1.0
1.0,0.84,,0.96,0.61,0.83,1.0
1.0,0.81,0.98,0.92,0.59,0.54,1.0
1.0,0.81,0.98,0.92,0.59,0.54,1.0
1.0,0.81,0.98,0.92,0.59,0.54,1.0
1.0,0.88,1.0,1.0,0.64,1.0,1.0
1.0,0.88,,,0.64,,1.0
1.0,0.88,,,0.64,,1.0
1.0,0.84,0.99,0.96,0.62,0.73,1.0
1.0,0.84,0.99,0.96,0.62,0.83,1.0
1.0,0.84,,0.96,0.62,0.84,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.88,1.0,1.0,0.64,1.0,1.0
1.0,0.88,,,0.64,,1.0
1.0,0.88,,,0.64,,1.0
1.0,0.84,0.99,0.96,0.62,0.73,1.0
1.0,0.84,0.99,0.96,0.62,0.83,1.0
1.0,0.84,,0.96,0.62,0.84,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.87,1.0,1.0,0.64,0.83,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.87,,,0.64,1.0,1.0
1.0,0.84,0.99,0.96,0.61,0.56,1.0
1.0,0.84,0.99,0.96,0.61,0.59,1.0
1.0,0.84,0.99,0.96,0.61,0.61,1.0
1.0,0.81,0.98,0.92,0.59,0.54,1.0
1.0,0.81,0.98,0.92,0.59,0.54,1.0
1.0,0.81,0.98,0.92,0.59,0.54,1.0
1.0,0.88,1.0,1.0,0.64,0.84,1.0
1.0,0.88,1.0,1.0,0.64,1.0,1.0
1.0,0.88,,,0.64,1.0,1.0
1.0,0.84,0.99,0.96,0.62,0.57,1.0
1.0,0.84,0.99,0.96,0.62,0.59,1.0
1.0,0.84,0.99,0.96,0.62,0.61,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.88,1.0,1.0,0.64,0.84,1.0
1.0,0.88,1.0,1.0,0.64,1.0,1.0
1.0,0.88,,,0.64,1.0,1.0
1.0,0.84,0.99,0.96,0.62,0.57,1.0
1.0,0.84,0.99,0.96,0.62,0.59,1.0
1.0,0.84,0.99,0.96,0.62,0.61,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.87,1.0,1.0,0.64,0.83,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.87,1.0,1.0,0.64,1.0,1.0
1.0,0.84,0.99,0.96,0.61,0.56,1.0
1.0,0.84,0.99,0.96,0.61,0.59,1.0
1.0,0.84,0.99,0.96,0.61,0.61,1.0
1.0,0.81,0.97,0.92,0.59,0.54,1.0
1.0,0.81,0.98,0.92,0.59,0.54,1.0
1.0,0.81,0.98,0.92,0.59,0.54,1.0
1.0,0.88,1.0,1.0,0.64,0.84,1.0
1.0,0.88,1.0,1.0,0.64,1.0,1.0
1.0,0.88,1.0,1.0,0.64,1.0,1.0
1.0,0.84,0.99,0.96,0.62,0.57,1.0
1.0,0.84,0.99,0.96,0.62,0.59,1.0
1.0,0.84,0.99,0.96,0.62,0.61,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
1.0,0.81,0.98,0.93,0.59,0.54,1.0
